Sentence,Citation,Author,Year
"The analysis of acknowledgments is particularly interesting as acknowledgments may 
give an insight into aspects of the scientific community, such as reward systems (Dzieżyc 
& Kazienko, 2022), collaboration patterns, and hidden research trends (Giles & Councill, 
2004; Diaz-Faes & Bordons, 2017).","reward systems Dzieżyc Kazienko collaboration patterns hidden research trends (Giles & Councill, 
2004; Diaz-Faes & Bordons, 2017)",Dzieżyc Kazienko,2004
"Acknowledged universities and corporations reveal interactions and knowl-
edge exchange between industry and universities (Chen et  al., 2022).","industry universities (Chen et  al., 2022)",Chen et  al.,2022
"CoNLL-2003 corpus (Sang et  al., 2003) is a benchmark dataset 
for language-independent named entity recognition, i.e., designed to train and evaluate 
NER models.","CoNLL-2003 corpus (Sang et  al., 2003)",Sang et  al.,2003
"Most of the previous works on acknowledgment analysis were limited 
by the manual evaluation of data and therefore by the amount of processed data (Giles 
& Councill, 2004; Paul-Hus et al., 2017; Paul-Hus & Desrochers, 2019; Mccain, 2017).","processed data (Giles 
& Councill, 2004; Paul-Hus et al., 2017; Paul-Hus & Desrochers, 2019; Mccain, 2017)",Paul-Hus,2004
"Most of the previous works on acknowledgment analysis were limited 
by the manual evaluation of data and therefore by the amount of processed data (Giles 
& Councill, 2004; Paul-Hus et al., 2017; Paul-Hus & Desrochers, 2019; Mccain, 2017).","processed data (Giles 
& Councill, 2004; Paul-Hus et al., 2017; Paul-Hus & Desrochers, 2019; Mccain, 2017)",Mccain,2017
"Furthermore, Thomer and Weber (2014) argues that using named entities can benefit the 
process of manual document classification and evaluation of the data.",Thomer Weber (2014),Thomer Weber,2014
"The first typology of acknowledgments was proposed by Mackintosh (1972) (as cited 
in Cronin, 1995) and comprised three categories: facilities, access to data, and help of indi-
viduals.",Mackintosh (1972),Mackintosh,1972
"The first typology of acknowledgments was proposed by Mackintosh (1972) (as cited 
in Cronin, 1995) and comprised three categories: facilities, access to data, and help of indi-
viduals.","Mackintosh (as cited 
in Cronin, 1995)",Mackintosh,1995
"McCain (1991) distinguished five types of acknowledgements: research-related 
information, secondary access to research-related information, specific research-related 
communication, general peer communication, and technical or clerical support.",McCain (1991),McCain,1991
"Mejia and Kajikawa (2018) developed a four-level classification based on sponsored 
research field: change maker, incremental, breakthrough, and matured.",Mejia and Kajikawa (2018),Mejia,2018
"Mejia and Kajikawa (2018) argued that the classification of funders 
could be useful in developing funding strategies for policymakers and funders.",Mejia and Kajikawa (2018),Mejia,2018
"Later, Liu et al. (2019) performed an optimization of the BERT model and introduced 
RoBERTa (Robustly Optimized BERT Pretraining Approach).",Liu et al (2019),Liu et al,2019
"Jiang et al. (2022) proposed a strategy for the identification of software in scientific bio-
informatics publications using the combination of SVM and CRF (Conditional Random 
Field).",Jiang et al. (2022),Jiang et al,2022
"Jiang et al. (2022) proposed a strategy for the identification of software in scientific bio-
informatics publications using the combination of SVM and CRF (Conditional Random 
Field).","Jiang et al. (2022) proposed a strategy for the identification of software in scientific bio-
informatics publications using the combination of SVM and CRF (Conditional Random 
Field)",Jiang et al,2022
"Kusumegi and Sano (2022) analysed scholarly relationships by analysing acknowl-
edged individuals from the acknowledgments statements from eight open-access journals.",Kusumegi and Sano (2022),Kusumegi,2022
"Thomer and Weber (2014) used the 4-class Stanford Entity Recognizer (Finkel et al., 
2005) to extract persons, locations, organizations, and miscellaneous entities from the col-
lection of bioinformatics texts from PubMed Central’s Open Access corpus.",Thomer and Weber (2014),Thomer,2014
"Thomer and Weber (2014) used the 4-class Stanford Entity Recognizer (Finkel et al., 
2005) to extract persons, locations, organizations, and miscellaneous entities from the col-
lection of bioinformatics texts from PubMed Central’s Open Access corpus.","Thomer and Weber (2014) used the 4-class Stanford Entity Recognizer (Finkel et al., 
2005)",Thomer,2014
