model,group,n,f1,f1_relaxed,hits@1,hits@3,hits@5,mrr
bm25,overall,625,0.2944,,0.2944,0.5568,0.7072,0.4737
bm25,co-citation,241,0.166,0.4232,0.166,0.4191,0.5975,0.3525
bm25,non-co-citation,384,0.375,,0.375,0.6432,0.776,0.5497
bert_random,overall,625,0.3968,,0.3968,0.664,0.7824,0.5651
bert_random,co-citation,241,0.2241,0.5768,0.2241,0.5228,0.6888,0.4273
bert_random,non-co-citation,384,0.5052,,0.5052,0.7526,0.8411,0.6516
bert_hard,overall,625,0.2128,,0.2128,0.3888,0.4896,0.3598
bert_hard,co-citation,241,0.0539,0.1369,0.0539,0.166,0.2407,0.1882
bert_hard,non-co-citation,384,0.3125,,0.3125,0.5286,0.6458,0.4675
scibert_random,overall,625,0.4096,,0.4096,0.6864,0.8128,0.5807
scibert_random,co-citation,241,0.2282,0.6266,0.2282,0.5311,0.7012,0.4294
scibert_random,non-co-citation,384,0.5234,,0.5234,0.7839,0.8828,0.6757
scibert_hard,overall,625,0.2288,,0.2288,0.4224,0.5424,0.3847
scibert_hard,co-citation,241,0.0415,0.1037,0.0415,0.166,0.2822,0.185
scibert_hard,non-co-citation,384,0.3464,,0.3464,0.5833,0.7057,0.5101
gemma_4_e4b,overall,625,0.3728,,0.3728,0.3728,0.3728,0.3728
gemma_4_e4b,co-citation,241,0.1618,0.3942,0.1618,0.1618,0.1618,0.1618
gemma_4_e4b,non-co-citation,384,0.5052,,0.5052,0.5052,0.5052,0.5052
llama3_1_8b,overall,625,0.1904,,0.1904,0.1904,0.1904,0.1904
llama3_1_8b,co-citation,241,0.1245,0.3195,0.1245,0.1245,0.1245,0.1245
llama3_1_8b,non-co-citation,384,0.2318,,0.2318,0.2318,0.2318,0.2318
