doc_id,citation_id,span_text,length,category,task3_file,task2_file
3,[CITATION_5],", lower-limb",12,very_short,task3/3.label,task2/3.in
3,[CITATION_6],"or breast",9,very_short,task3/3.label,task2/3.in
26,[CITATION_1],"This extension is similar to",28,short,task3/26.label,task2/26.in
38,[CITATION_6],", sev-Gal4",10,very_short,task3/38.label,task2/38.in
38,[CITATION_9],", UASsvp",8,very_short,task3/38.label,task2/38.in
95,[CITATION_4],"and parietal",12,very_short,task3/95.label,task2/95.in
144,[CITATION_4],", literature",12,very_short,task3/144.label,task2/144.in
150,[CITATION_1],"Wolheim ) and ␤ -TC3 from Dr.",29,short,task3/150.label,task2/150.in
170,[CITATION_2],"and Kanazawa et al,",19,short,task3/170.label,task2/170.in
173,[CITATION_2],"and TotalCapture",16,short,task3/173.label,task2/173.in
253,[CITATION_1],"The n = 1 version is in",23,short,task3/253.label,task2/253.in
268,[CITATION_7],"and Gentianaceae",16,short,task3/268.label,task2/268.in
277,[CITATION_1],"as a KKT point of.",18,short,task3/277.label,task2/277.in
286,[CITATION_2],", structure probing",19,short,task3/286.label,task2/286.in
294,[CITATION_1],"(e.g., ) is also considered.",28,short,task3/294.label,task2/294.in
330,[CITATION_1],"Then it is trivial that",23,short,task3/330.label,task2/330.in
348,[CITATION_3],"or SMVS controller",18,short,task3/348.label,task2/348.in
368,[CITATION_5],"and adaptive",12,very_short,task3/368.label,task2/368.in
425,[CITATION_2],", in item sequences",19,short,task3/425.label,task2/425.in
463,[CITATION_2],"and caGRID",10,very_short,task3/463.label,task2/463.in
548,[CITATION_3],"or arterial elasticity",22,short,task3/548.label,task2/548.in
549,[CITATION_2],", to remove phosphate",21,short,task3/549.label,task2/549.in
567,[CITATION_1],"be iterates produced by",23,short,task3/567.label,task2/567.in
604,[CITATION_2],", ferroelectrics",16,short,task3/604.label,task2/604.in
616,[CITATION_8],"However, Woon et al.",20,short,task3/616.label,task2/616.in
681,[CITATION_2],"and a median filter.",20,short,task3/681.label,task2/681.in
690,[CITATION_3],"and smokers",11,very_short,task3/690.label,task2/690.in
691,[CITATION_7],", increased 3-nitrotyrosine",27,short,task3/691.label,task2/691.in
736,[CITATION_11],", atherosclerosis",17,short,task3/736.label,task2/736.in
736,[CITATION_12],", gastric ulcer",15,short,task3/736.label,task2/736.in
736,[CITATION_13],", and hyperoxia",15,short,task3/736.label,task2/736.in
742,[CITATION_3],", motion discrimination",23,short,task3/742.label,task2/742.in
752,[CITATION_8],", diabetics",11,very_short,task3/752.label,task2/752.in
838,[CITATION_2],"and the Schwarz et al. study",28,short,task3/838.label,task2/838.in
855,[CITATION_4],", A3C+",6,very_short,task3/855.label,task2/855.in
855,[CITATION_1],"A first solution proposed by",28,short,task3/855.label,task2/855.in
855,[CITATION_5],"or DQN-PixelCNN",15,short,task3/855.label,task2/855.in
864,[CITATION_4],", US sweet sorghum collection",29,short,task3/864.label,task2/864.in
864,[CITATION_5],", mutant populations",20,short,task3/864.label,task2/864.in
864,[CITATION_6],", Japanese collection",21,short,task3/864.label,task2/864.in
881,[CITATION_4],"monocytes,",10,very_short,task3/881.label,task2/881.in
909,[CITATION_6],", influenza",11,very_short,task3/909.label,task2/909.in
909,[CITATION_7],", lung inflammation",19,short,task3/909.label,task2/909.in
909,[CITATION_8],", intracerebral hemorrhage",26,short,task3/909.label,task2/909.in
947,[CITATION_2],", and",5,very_short,task3/947.label,task2/947.in
947,[CITATION_10],", sweet stalks (",16,short,task3/947.label,task2/947.in
947,[CITATION_12],"), disease resistance",21,short,task3/947.label,task2/947.in
1011,[CITATION_2],"and ethane (t = 92 days)",24,short,task3/1011.label,task2/1011.in
1035,[CITATION_2],"and attentional demand",22,short,task3/1035.label,task2/1035.in
1075,[CITATION_5],"pre-trained on ImageNet",23,short,task3/1075.label,task2/1075.in
1082,[CITATION_2],"and tw",6,very_short,task3/1082.label,task2/1082.in
1082,[CITATION_1],"In the example scripts, tw",26,short,task3/1082.label,task2/1082.in
1090,[CITATION_4],"or EC",5,very_short,task3/1090.label,task2/1090.in
1128,[CITATION_3],") and China",11,very_short,task3/1128.label,task2/1128.in
1135,[CITATION_4],"; excellent",11,very_short,task3/1135.label,task2/1135.in
1135,[CITATION_5],"to poor",7,very_short,task3/1135.label,task2/1135.in
