Sentence,Citation,Author,Year,Content,Type
"Text mining · Flair NLP-framework
 * Nina Smirnova 
 nina.smirnova@gesis.org
 Philipp Mayr 
 philipp.mayr@gesis.org
1 GESIS – Leibniz Institute for the Social Sciences, Unter Sachsenhausen 6-8, 50667 Cologne, 
Germany Scientometrics
1 3
Introduction
Acknowledgments in scientific papers are short texts where the author(s) “identify those 
who made special intellectual or technical contribution to a study that are not sufficient 
to qualify them for authorship” (Kassirer & Angell, 1991, p. 1511).","Unter Sachsenhausen, 1991, p. 1511",Unter Sachsenhausen,1991,"“identify those 
who made special intellectual or technical contribution to a study that are not sufficient 
to qualify them for authorship” .",direct
"Cronin and Weaver 
(1995) ascribe an acknowledgment alongside authorship and citedness to measures of a 
researcher’s scholarly performance: a feature that reflects the researcher’s productivity and 
impact.", 1995,,1995,Cronin and Weaver,regular
"Giles and Councill (2004) argue that acknowledgments to individuals, in the same 
way as citations, may be used as a metric to measure an individual’s intellectual contribu-
tion to scientific work.", 2004,,2004,Giles and Councill,regular
"Acknowledgments of 
technical and instrumental support may reveal “indirect contributions of research labora-
tories and universities to research activities” (Giles & Councill, 2004, p. 17599).",", 2004, p. 17599",,2004,"Acknowledgments of 
technical and instrumental support may reveal “indirect contributions of research labora-
tories and universities to research activities” .",direct
"To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries, 2021; Kayal et  al., 2017; Borst et  al., 2022) or classification of acknowledgment 
texts (Song et al., 2020; Hubbard et al., 2022).",", 2020; Hubbard et al., 2022",,2020,"To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries, 2021; Kayal et  al., 2017; Borst et  al., 2022) or classification of acknowledgment 
texts .",direct
"To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries, 2021; Kayal et  al., 2017; Borst et  al., 2022) or classification of acknowledgment 
texts (Song et al., 2020; Hubbard et al., 2022).",", 2020; Hubbard et al., 2022",,2022,"To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries, 2021; Kayal et  al., 2017; Borst et  al., 2022) or classification of acknowledgment 
texts .",direct
"Acknowledged universities and corporations reveal interactions and knowl-
edge exchange between industry and universities (Chen et  al., 2022).","al., 2022",al.,2022,"Acknowledged universities and corporations reveal interactions and knowl-
edge exchange between industry and universities",regular
"CoNLL-2003 corpus (Sang et  al., 2003) is a benchmark dataset 
for language-independent named entity recognition, i.e., designed to train and evaluate 
NER models.","al., 2003",al.,2003,CoNLL-2003 corpus,regular
"com/ produ cts_ tools/ multi disci plina ry/ webof  scien ce/ fundi ngsea rch/.Scientometrics 
1 3
The present paper is an extended version of the article (Smirnova & Mayr, 2022)2 pre-
sented at the 3rd Workshop on Extraction and Evaluation of Knowledge Entities from Sci-
entific Documents (EEKE2022).3 Flair, an open-source natural language processing (NLP) 
framework (Akbik et al., 2019) is used in our study to create a tool for the extraction of 
acknowledged entities because this library is easily customizable.",", 2022",,2022,"com/ produ cts_ tools/ multi disci plina ry/ webof  scien ce/ fundi ngsea rch/.Scientometrics 
1 3
The present paper is an extended version of the article",regular
"com/ produ cts_ tools/ multi disci plina ry/ webof  scien ce/ fundi ngsea rch/.Scientometrics 
1 3
The present paper is an extended version of the article (Smirnova & Mayr, 2022)2 pre-
sented at the 3rd Workshop on Extraction and Evaluation of Knowledge Entities from Sci-
entific Documents (EEKE2022).3 Flair, an open-source natural language processing (NLP) 
framework (Akbik et al., 2019) is used in our study to create a tool for the extraction of 
acknowledged entities because this library is easily customizable.",", 2019",,2019,framework,regular
