ID,Citation,Child Citation,Context,Full Reference,Paper Title,Authors,Year,Matched
1.1,"Kassirer  &  Angell,  1991,  p.  1511","Kassirer  &  Angell,  1991,  p.  1511","Text mining · Flair NLP-framework

 *  Nina Smirnova 

nina.smirnova@gesis.org

Philipp Mayr 
philipp.mayr@gesis.org

1  GESIS – Leibniz Institute for the Social Sciences, Unter Sachsenhausen 6-8, 50667 Cologne, 

Germany

Vol.:(0123456789)1 3 
 
 
Scientometrics

Introduction

Acknowledgments  in  scientific  papers  are  short  texts  where  the  author(s)  “identify  those 
who  made  special  intellectual  or  technical  contribution  to  a  study  that  are  not  sufficient 
to  qualify  them  for  authorship”  (Kassirer  &  Angell,  1991,  p.  1511).","Kassirer, J. P., & Angell, M. (1991). On authorship and acknowledgments. The New England Journal of",On authorship and acknowledgments,"Kassirer, J. P., & Angell, M.",1991,Yes
2.1,"Giles & Councill, 2004, p. 17599","Giles & Councill, 2004, p. 17599","Acknowledgments of 
technical and instrumental support may reveal “indirect contributions of research labora-
tories and universities to research activities” (Giles & Councill, 2004, p. 17599).","Giles,  C.  L.,  &  Councill,  I.  G.  (2004).  Who  gets  acknowledged:  Measuring  scientific  contributions  through  automatic  acknowledgment  indexing.  Proceedings  of  the  National  Academy  of  Sciences, 101(51), 17599–17604. https:// doi. org/ 10. 1073/ pnas. 04077 43101",Who  gets  acknowledged:  Measuring  scientific  contributions  through  automatic  acknowledgment  indexing,"Giles,  C.  L.,  &  Councill,  I.  G.",2004,Yes
3.1,"Dzieżyc 
& Kazienko, 2022","Dzieżyc 
& Kazienko, 2022","The  analysis  of  acknowledgments  is  particularly  interesting  as  acknowledgments  may 
give an insight into aspects of the scientific community, such as reward systems (Dzieżyc 
& Kazienko, 2022), collaboration patterns, and hidden research trends (Giles & Councill, 
2004; Diaz-Faes & Bordons, 2017).","Dzieżyc, M., & Kazienko, P. (2022). Effectiveness of research grants funded by European research coun- cil  and  polish  national  science  centre.  Journal  of  Informetrics,  16(1),  101243.  https:// doi. org/ 10. 1016/j. joi. 2021. 101243",Effectiveness of research grants funded by European research coun- cil  and  polish  national  science  centre,"Dzieżyc, M., & Kazienko, P.",2022,Yes
4.1,"Giles & Councill, 
2004; Diaz-Faes & Bordons, 2017","Giles & Councill, 
2004","The  analysis  of  acknowledgments  is  particularly  interesting  as  acknowledgments  may 
give an insight into aspects of the scientific community, such as reward systems (Dzieżyc 
& Kazienko, 2022), collaboration patterns, and hidden research trends (Giles & Councill, 
2004; Diaz-Faes & Bordons, 2017).","Giles,  C.  L.,  &  Councill,  I.  G.  (2004).  Who  gets  acknowledged:  Measuring  scientific  contributions  through  automatic  acknowledgment  indexing.  Proceedings  of  the  National  Academy  of  Sciences, 101(51), 17599–17604. https:// doi. org/ 10. 1073/ pnas. 04077 43101",Who  gets  acknowledged:  Measuring  scientific  contributions  through  automatic  acknowledgment  indexing,"Giles,  C.  L.,  &  Councill,  I.  G.",2004,Yes
4.2,"Giles & Councill, 
2004; Diaz-Faes & Bordons, 2017","Diaz-Faes & Bordons, 2017","The  analysis  of  acknowledgments  is  particularly  interesting  as  acknowledgments  may 
give an insight into aspects of the scientific community, such as reward systems (Dzieżyc 
& Kazienko, 2022), collaboration patterns, and hidden research trends (Giles & Councill, 
2004; Diaz-Faes & Bordons, 2017).","Diaz-Faes, A. A., & Bordons, M. (2017). Making visible the invisible through the analysis of acknowl- edgements  in  the  humanities. Aslib  Journal  of  Information  Management,  69(5),  576–590. https:// doi. org/ 10. 1108/ AJIM- 01- 2017- 0008",Making visible the invisible through the analysis of acknowl- edgements  in  the  humanities,"Diaz-Faes, A. A., & Bordons, M.",2017,Yes
5.1,"Alexandera & 
Vries,  2021;  Kayal  et  al.,  2017;  Borst  et  al.,  2022","Alexandera & 
Vries,  2021","To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries,  2021;  Kayal  et  al.,  2017;  Borst  et  al.,  2022)  or  classification  of  acknowledgment 
texts (Song et al., 2020; Hubbard et al., 2022).","Alexandera, D. & Vries, A. P. (2021). This research is funded by...”: Named Entity Recognition of financial  information in research papers. In BIR 2021: 11th International Workshop on Bibliometric-enhanced",This research is funded by,"Alexandera, D. & Vries, A. P.",2021,Yes
5.2,"Alexandera & 
Vries,  2021;  Kayal  et  al.,  2017;  Borst  et  al.,  2022","Kayal  et  al.,  2017","To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries,  2021;  Kayal  et  al.,  2017;  Borst  et  al.,  2022)  or  classification  of  acknowledgment 
texts (Song et al., 2020; Hubbard et al., 2022).","Diaz-Faes, A. A., & Bordons, M. (2017). Making visible the invisible through the analysis of acknowl- edgements  in  the  humanities. Aslib  Journal  of  Information  Management,  69(5),  576–590. https:// doi. org/ 10. 1108/ AJIM- 01- 2017- 0008",Making visible the invisible through the analysis of acknowl- edgements  in  the  humanities,"Diaz-Faes, A. A., & Bordons, M.",2017,Yes
5.3,"Alexandera & 
Vries,  2021;  Kayal  et  al.,  2017;  Borst  et  al.,  2022","Borst  et  al.,  2022","To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries,  2021;  Kayal  et  al.,  2017;  Borst  et  al.,  2022)  or  classification  of  acknowledgment 
texts (Song et al., 2020; Hubbard et al., 2022).","Borst,  T.,  Mielck,  J.,  Nannt,  M.,  &  Riese,  W.  (2022).  Extracting  funder  information  from  scien- tific  papers—Experiences  with  question  answering.  In  Silvello,  G.,  O.  Corcho,  P.  Manghi,  G.M.",Extracting  funder  information  from  scien- tific  papers—Experiences  with  question  answering,"Borst,  T.,  Mielck,  J.,  Nannt,  M.,  &  Riese,  W.",2022,Yes
6.1,"Song et al., 2020; Hubbard et al., 2022","Song et al., 2020","To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries,  2021;  Kayal  et  al.,  2017;  Borst  et  al.,  2022)  or  classification  of  acknowledgment 
texts (Song et al., 2020; Hubbard et al., 2022).","Song,  M.,  Kang,  K.  Y.,  Timakum,  T.,  &  Zhang,  X.  (2020).  Examining  influential  factors  for  acknowl- edgements  classification  using  supervised  learning.  PLoS  ONE.  https:// doi. org/ 10. 1371/ journ al. pone. 02289 28",Examining  influential  factors  for  acknowl- edgements  classification  using  supervised  learning,"Song,  M.,  Kang,  K.  Y.,  Timakum,  T.,  &  Zhang,  X.",2020,Yes
6.2,"Song et al., 2020; Hubbard et al., 2022","Hubbard et al., 2022","To our knowledge, previous works on automatic acknowledgment analysis were mostly 
concerned with the extraction of funding organizations and grant numbers (Alexandera & 
Vries,  2021;  Kayal  et  al.,  2017;  Borst  et  al.,  2022)  or  classification  of  acknowledgment 
texts (Song et al., 2020; Hubbard et al., 2022).","Hubbard, D., Laddusaw, S., Tan, Q., & Hu, X. (2022). Analysis of acknowledgments of libraries in the  journal literature using machine learning. Proceedings of the Association for Information Science and Technology, 59(1), 709–711. https:// doi. org/ 10. 1002/ pra2. 698",Analysis of acknowledgments of libraries in the  journal literature using machine learning,"Hubbard, D., Laddusaw, S., Tan, Q., & Hu, X.",2022,Yes
